finess;finess_geographique;acte_ccam_phase;nombre_d_actes;duree_moyenne_de_sejour_dms;nombre_sejour_ambulatoire;annee;acte;phase;code_regroupement;regroupement;libelle;tarif_secteur_1_adherent_optam_optam_co;tarif_hors_secteur_1_hors_adherent_optam_optam_co;remboursement_sous_conditions;accord_prealable;tm_exoneration;libelle_mft;siren;telephone;epci;coordonnees;raison_sociale;code_ape;statut_juridique;adresse;raison_sociale_longue;departement;code_insee;siret;type_d_etablissement;commune;region;categorie_d_etablissement;proportion_actes_ambulatoires
2A0000154;2A0000154;ZBQH0010;175.0;7.96794871795;17;2016;ZBQH001;0;ADI;Actes d'imagerie;Scanographie du thorax, avec injection intraveineuse de produit de contraste;25.27;25.27;;;2.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;9.71428571429
2A0000139;2A0000139;YYYY3000;366.0;3.9590443686;111;2015;YYYY300;0;ADI;Actes d'imagerie;Supplément pour imagerie pour acte de radiologie interventionnelle, réalisée au bloc opératoire;79.8;79.8;;;2.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;30.3278688525
2A0000154;2A0000154;ZBQK0010;432.0;9.23619631902;18;2016;ZBQK001;0;ADI;Actes d'imagerie;Scanographie du thorax, sans injection intraveineuse de produit de contraste;25.27;25.27;;;2.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;4.16666666667
2B0000079;2B0000079;ZZLP0420;466.0;0.0171673819742;463;2016;ZZLP042;0;ADA/ADA;Actes d'anesthésie/Actes d'anesthésie;Anesthésie générale ou locorégionale complémentaire niveau 4;;;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.34.89.89;CA de Bastia;;CLINIQUE DR FILIPPI;8610Z;;BD B DANESI;CLINIQUE DU DOCTEUR PAUL LAURENT FILIPPI;HAUTE-CORSE;2B033;30509766900017;Etablissement simple;Bastia;CORSE;Etablissement de Soins Chirurgicaux;99.356223176
2B0000392;2B0000392;NDPA0110;20.0;1.875;.;2015;NDPA011;0;ADC/ADA;Actes de chirurgie/Actes d'anesthésie;Ostéotomie du métatarsien et de la phalange proximale du premier rayon du pied, avec libération mobilisatrice de l'articulation métatarsophalangienne du premier orteil;209.0;209.0;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000139;2A0000139;NFMC0030;26.0;4.07692307692;.;2016;NFMC003;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Reconstruction du ligament croisé antérieur du genou par autogreffe, par arthroscopie;444.54;388.62;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000139;;HEFE0020;77.0;0.210526315789;72;2017;HEFE002;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Exérèse de 1 à 3 polypes de moins de 1cm de diamètre de l'œsophage, de l'estomac et/ou du duodénum, par œso-gastro-duodénoscopie;103.28;103.28;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;93.5064935065
2A0000139;2A0000139;HFQX0050;176.0;0.181818181818;164;2016;HFQX005;0;ATM;Actes techniques médicaux (hors imagerie);Examen anatomopathologique à visée carcinologique de pièce d'exérèse endoscopique de l'estomac;66.06;66.06;;;5.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;93.1818181818
2A0000139;2A0000139;EDAF0030;23.0;1.65217391304;.;2015;EDAF003;0;ATM/ADA;Actes techniques médicaux (hors imagerie)/Actes d'anesthésie;Dilatation intraluminale de l'artère iliaque commune et/ou de l'artère iliaque externe avec pose d'endoprothèse, par voie artérielle transcutanée;313.5;313.5;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;
2B0000392;;ZZQX0270;90.0;4.78888888889;31;2017;ZZQX027;0;ATM;Actes techniques médicaux (hors imagerie);Examen immunocytochimique ou immunohistochimique de prélèvement cellulaire ou tissulaire fixé avec 3 à 5 anticorps, sans quantification du signal;68.0;68.0;;;;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;34.4444444444
2A0000139;2A0000139;GEQE0070;21.0;0.0952380952381;19;2016;GEQE007;0;ATM;Actes techniques médicaux (hors imagerie);Fibroscopie bronchique;96.0;96.0;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;90.4761904762
2A0000139;;EJGA0020;72.0;0.638888888889;40;2017;EJGA002;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Extraction [Stripping] de la grande veine saphène, par abord direct;167.2;167.2;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;55.5555555556
2B0000392;;MDQK0010;12.0;0.5;.;2017;MDQK001;0;ADI;Actes d'imagerie;Radiographie de la main ou de doigt;19.95;19.95;;;2.0;ARS établissements de santé non financés dotation globale;;04.95.54.51.00;CA de Bastia;42.655777, 9.432311;POLYCLINIQUE DE FURIANI;;;;POLYCLINIQUE DE FURIANI;HAUTE-CORSE;2B120;49682015000019;Etablissement simple;Furiani;CORSE;Etablissement de Soins Pluridisciplinaire;
2A0000154;2A0000154;ACQK0010;334.0;6.5436893203899995;44;2016;ACQK001;0;ADI;Actes d'imagerie;Scanographie du crâne et de son contenu, sans injection de produit de contraste;25.27;25.27;;;2.0;ARS établissements de santé non financés dotation globale;;04.95.73.80.00;CC du Sud Corse;;CLINIQUE DU SUD DE LA CORSE;;;R DU DOCTEUR JOURDAN;CLINIQUE CHIRURGICALE DU SUD DE LA CORSE;CORSE-DU-SUD;2A247;30279169400011;Etablissement simple;Porto-Vecchio;CORSE;Etablissement de Soins Pluridisciplinaire;13.1736526946
2A0000139;2A0000139;MJPA0120;18.0;0.888888888889;11;2015;MJPA012;0;ADA/ADC;Actes d'anesthésie/Actes de chirurgie;Désinsertion ou allongement des muscles épicondyliens latéraux au coude, par abord direct;281.29;281.29;;;1.0;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;61.1111111111
2A0000139;2A0000139;HBGB0020;11.0;0.0;.;2015;HBGB002;0;ADC;Actes de chirurgie;Curetage périapical avec résection de l'apex et obturation radiculaire d'une prémolaire;98.36;98.36;;;;ARS établissements de santé non financés dotation globale;;04.95.29.29.29;CA du Pays Ajaccien;41.92358, 8.735116;CLINISUD;;;12 AV NAPOLEON III;;CORSE-DU-SUD;2A004;42510293600035;Etablissement simple;Ajaccio;CORSE;Etablissement de Soins Pluridisciplinaire;
